1 2 
2.00 1 0 
2.06 1 0 
2.13 1 0 
2.19 1 0 
2.25 1 0 
2.31 1 0 
2.38 1 0 
2.44 1 0 
2.50 1 0 
2.56 1 0 
2.62 1 0 
2.68 1 0 
2.74 1 0 
2.80 1 0 
2.85 1 0 
2.91 1 0 
2.97 1 0 
3.02 1 0 
3.07 1 0 
3.13 1 0 
3.18 1 0 
3.23 1 0 
3.28 1 0 
3.33 1 0 
3.37 1 0 
3.42 1 0 
3.46 1 0 
3.50 1 0 
3.54 1 0 
3.58 1 0 
3.62 1 0 
3.66 1 0 
3.69 1 0 
3.72 1 0 
3.76 1 0 
3.78 1 0 
3.81 1 0 
3.84 1 0 
3.86 1 0 
3.88 1 0 
3.90 1 0 
3.92 1 0 
3.94 1 0 
3.95 1 0 
3.97 1 0 
3.98 1 0 
3.99 0 1 
3.99 1 0 
4.00 0 1 
4.00 0 1 
4.00 0 1 
4.00 0 1 
4.00 0 1 
3.99 0 1 
3.98 0 1 
3.97 0 1 
3.96 0 1 
3.95 0 1 
3.93 0 1 
3.92 0 1 
3.90 0 1 
3.88 0 1 
3.86 0 1 
3.83 0 1 
3.81 0 1 
3.78 0 1 
3.75 0 1 
3.72 0 1 
3.68 0 1 
3.65 0 1 
3.61 0 1 
3.57 0 1 
3.53 0 1 
3.49 0 1 
3.45 0 1 
3.41 0 1 
3.36 0 1 
3.31 0 1 
3.27 0 1 
3.22 0 1 
3.17 0 1 
3.11 0 1 
3.06 0 1 
3.01 0 1 
2.95 0 1 
2.90 0 1 
2.84 0 1 
2.78 0 1 
2.72 0 1 
2.66 0 1 
2.60 0 1 
2.54 0 1 
2.48 0 1 
2.42 0 1 
2.36 0 1 
2.30 0 1 
2.24 0 1 
2.17 0 1 
2.11 0 1 
2.05 0 1 
1.98 0 1 
1.92 0 1 
1.86 0 1 
1.80 0 1 
1.73 0 1 
1.67 0 1 
1.61 0 1 
1.55 0 1 
1.49 0 1 
1.43 0 1 
1.37 0 1 
1.31 0 1 
1.25 0 1 
1.19 0 1 
1.13 0 1 
1.08 0 1 
1.02 0 1 
0.97 0 1 
0.91 0 1 
0.86 0 1 
0.81 0 1 
0.76 0 1 
0.71 0 1 
0.66 0 1 
0.62 0 1 
0.57 0 1 
0.53 0 1 
0.49 0 1 
0.45 0 1 
0.41 0 1 
0.37 0 1 
0.33 0 1 
0.30 0 1 
0.27 0 1 
0.24 0 1 
0.21 0 1 
0.18 0 1 
0.16 0 1 
0.13 0 1 
0.11 0 1 
0.09 0 1 
0.07 0 1 
0.06 0 1 
0.04 0 1 
0.03 0 1 
0.02 0 1 
0.01 0 1 
0.01 0 1 
0.00 0 1 
0.00 0 1 
0.00 0 1 
0.00 1 0 
0.01 0 1 
0.01 1 0 
0.02 1 0 
0.03 1 0 
0.04 1 0 
0.05 1 0 
0.07 1 0 
0.09 1 0 
0.11 1 0 
0.13 1 0 
0.15 1 0 
0.17 1 0 
0.20 1 0 
0.23 1 0 
0.26 1 0 
0.29 1 0 
0.33 1 0 
0.36 1 0 
0.40 1 0 
0.44 1 0 
0.48 1 0 
0.52 1 0 
0.56 1 0 
0.61 1 0 
0.65 1 0 
0.70 1 0 
0.75 1 0 
0.80 1 0 
0.85 1 0 
0.90 1 0 
0.95 1 0 
1.01 1 0 
1.06 1 0 
1.12 1 0 
1.18 1 0 
1.23 1 0 
1.29 1 0 
1.35 1 0 
1.41 1 0 
1.47 1 0 
1.53 1 0 
1.59 1 0 
1.66 1 0 
1.72 1 0 
1.78 1 0 
1.84 1 0 
1.91 1 0 
1.97 1 0 
2.03 1 0 
2.09 1 0 
2.16 1 0 
2.22 1 0 
2.28 1 0 
2.34 1 0 
2.41 1 0 
2.47 1 0 
2.53 1 0 
2.59 1 0 
2.65 1 0 
2.71 1 0 
2.77 1 0 
2.82 1 0 
2.88 1 0 
2.94 1 0 
2.99 1 0 
3.05 1 0 
3.10 1 0 
3.15 1 0 
3.20 1 0 
3.25 1 0 
3.30 1 0 
3.35 1 0 
3.39 1 0 
3.44 1 0 
3.48 1 0 
3.52 1 0 
3.56 1 0 
3.60 1 0 
3.64 1 0 
3.67 1 0 
3.71 1 0 
3.74 1 0 
3.77 1 0 
3.80 1 0 
3.83 1 0 
3.85 1 0 
3.87 1 0 
3.89 1 0 
3.91 1 0 
3.93 1 0 
3.95 1 0 
3.96 1 0 
3.97 1 0 
3.98 1 0 
3.99 0 1 
3.99 1 0 
4.00 0 1 
4.00 0 1 
4.00 0 1 
4.00 0 1 
3.99 0 1 
3.99 0 1 
3.98 0 1 
3.97 0 1 
3.96 0 1 
3.94 0 1 
3.93 0 1 
3.91 0 1 
3.89 0 1 
3.87 0 1 
3.84 0 1 
3.82 0 1 
3.79 0 1 
3.76 0 1 
3.73 0 1 
3.70 0 1 
3.67 0 1 
3.63 0 1 
3.59 0 1 
3.55 0 1 
3.51 0 1 
3.47 0 1 
3.43 0 1 
3.38 0 1 
3.34 0 1 
3.29 0 1 
3.24 0 1 
3.19 0 1 
3.14 0 1 
3.09 0 1 
3.03 0 1 
2.98 0 1 
2.92 0 1 
2.87 0 1 
2.81 0 1 
2.75 0 1 
2.69 0 1 
2.63 0 1 
2.57 0 1 
2.51 0 1 
2.45 0 1 
2.39 0 1 
2.33 0 1 
2.27 0 1 
2.20 0 1 
2.14 0 1 
2.08 0 1 
2.02 0 1 
1.95 0 1 
1.89 0 1 
1.83 0 1 
1.76 0 1 
1.70 0 1 
1.64 0 1 
1.58 0 1 
1.52 0 1 
1.46 0 1 
1.40 0 1 
1.34 0 1 
1.28 0 1 
1.22 0 1 
1.16 0 1 
1.10 0 1 
1.05 0 1 
0.99 0 1 
0.94 0 1 
0.89 0 1 
0.83 0 1 
0.78 0 1 
0.73 0 1 
0.69 0 1 
0.64 0 1 
0.59 0 1 
0.55 0 1 
0.51 0 1 
0.47 0 1 
0.43 0 1 
0.39 0 1 
0.35 0 1 
0.32 0 1 
0.28 0 1 
0.25 0 1 
0.22 0 1 
0.19 0 1 
0.17 0 1 
0.14 0 1 
0.12 0 1 
0.10 0 1 
0.08 0 1 
0.07 0 1 
0.05 0 1 
0.04 0 1 
0.03 0 1 
0.02 0 1 
0.01 0 1 
0.00 0 1 
0.00 0 1 
0.00 0 1 
0.00 0 1 
0.00 1 0 
0.01 0 1 
0.01 1 0 
0.02 1 0 
0.03 1 0 
0.05 1 0 
0.06 1 0 
0.08 1 0 
0.10 1 0 
0.12 1 0 
0.14 1 0 
0.16 1 0 
0.19 1 0 
0.22 1 0 
0.24 1 0 
0.28 1 0 
0.31 1 0 
0.34 1 0 
0.38 1 0 
0.42 1 0 
0.46 1 0 
0.50 1 0 
0.54 1 0 
0.58 1 0 
0.63 1 0 
